text,id,reply_msg_id,sender_id,added_user,date
"🌚 **«Ну и год..», — хором говорят многие из наших коллег..

**и, пожалуй, это самая точная характеристика уходящего года!

Пока мы все дружно не шагнули в 2023 ☃️, **предлагаем перемотать пленку **и вспомнить, сколько всего классного произошло за последние 12 месяцев и [подвести итоги вместе с нами!](https://just-ai.com/blog/itogi-goda-delimsya-glavnym-i-rasskazyvaem-o-vazhnom) ⚡️

🙌🏼 Вы доверяли нашим технологиям, а мы вдохновлялись и делали важные обновления и крутые продукты:

- Создали визуальный конструктор** **[J-Graph](https://jaicp.com/);
- Обновили [CAILA 2.0](https://just-ai.com/blog/caila-2-0-udobnoe-vnedrenie-nlp-v-dialogovye-resheniya);
- Запустили первую версию [Aimychat](https://aimychat.com/?_ga=2.218226653.555718463.1672133035-241463854.1656930278) и свой **синтез речи on-prem**.
и многое другое! 💫

🕺🏼 Мы провели огненную конференцию [Conversations](https://conversations-ai.com/), на которой собралось более 500 гостей онлайн и офлайн

🎥 Сделали 3 выпуска подкаста [Conversations with..](https://www.youtube.com/watch?v=NL9yJ-ku0Bo) Лучше один раз это увидеть!

✏️ Выпустили 72 полезных материала с нашими экспертами. Ну просто зачитаться! 🤓

🔥 Больше подробностей собрали в **наикрутейшем новогоднем посте** [в нашем блоге](https://just-ai.com/blog/itogi-goda-delimsya-glavnym-i-rasskazyvaem-o-vazhnom), где вы также сможете узнать:

- Что мечтают обнаружить под елкой айтишники? 🎁
- Об угасающей моде на «Д.Ж.А.Р.В.И.С.А.» 🤖
- О необычных навыках голосовых помощников, которые сделают вашу вечеринку запоминающейся 🤪, а на утро помогут понять, готовы ли вы садиться за руль 🏎

🌊 На протяжении всего года мы вместе с вами покоряли волны разговорного AI. 
Пора ненадолго сойти на берег, чтобы набраться сил для новых свершений.

С Наступающим Новым Годом, друзья! 🎄 Спасибо, что остаетесь с нами 🤍",48687,-1,-1001338296810,False,1672397855.0
"help.just-ai.com/docs/ru/telephony/switch_to_operator
help.just-ai.com/docs/ru/bot-replies/switch",48686,48685,697113421,False,1672388475.0
"круто, либо я про это не знал, когда делал такую штуку в начале года, либо это что-то новое)",48685,-1,349278159,False,1672388348.0
да,48684,48683,697113421,False,1672388313.0
работает?,48683,-1,349278159,False,1672388304.0
"Ясно(
В jaicp я сделал вот так",48682,48681,697113421,False,1672388291.0
"в майлоджик нельзя, можно в jaicp через связку например с астериском - но сложно, нужен тот кто шарит и сервер Астериска)",48681,48680,349278159,False,1672388137.0
"Ребят, подскажите, пожалуйста, можно ли в блоке ""Перевод на оператора"" переводить на sip uri? (в голосом боте aimylogic). Если нет, то можно ли вообще как-то переводить на sip uri?",48680,-1,697113421,False,1672388043.0
"Согласен с вами, но хотелось просто попробовать, что это такое. Интересно стало😀",48679,48677,1021906259,False,1672387643.0
Понял. Спасибо.,48678,48675,1021906259,False,1672387588.0
"Доброй ночи. Спасибо, что захотели отблагодарить, специалисты, безусловно, есть, но я с ними согласен, задача, которую озвучили, решается гораздо проще: созданием простого опроса в группе. Если нужно, подскажу, как 😄",48677,48673,904930761,False,1672356600.0
"Для ваших целей вам нужен ""бот-модератор"" (не знаю, как правильно называется). Зайди в популярные группы вк или телеграм, и там будут сообщения от ботов по типу ""пользователь такой-то забанен"". Возьмите любого такого бота и подключите его к своей группе.",48675,-1,697113421,False,1672346263.0
"Вы наверное не совсем поняли, что такое aimylogic. В aimylogic можно создавать ботов, с которыми будет взаимодействовать 1 пользователь. Например: бот для покупки услуг, бот для онлайн консультаций.",48674,48673,697113421,False,1672346164.0
"Доброй ночи всем. Подскажите, есть ли тут специалисты с которыми можно посотрудничать, что бы написать совместно чат-бота. 

Почему совместно, да просто хочется самому понять. Очень интересно.

Задача: Группа в телеграмме, кол-во 19 человек. Цель группы, еженедельно собираться погонять в футбол. Чат-бот нужен для сортировки готов играть, сегодня пропущу. И выводит список кто готов поиграть.

Уже два часа сижу и пытаюсь сделать чат бота, но ничего не выходит.

Готов отблагодарить😀",48673,-1,1021906259,False,1672343324.0
,48672,-1,1021906259,True,1672343031.0
"Подскажите, пожалуйста, можно ли в блоке ""Перевод на оператора"" переводить на sip uri? (в голосом боте aimylogic)",48671,-1,697113421,False,1672326001.0
Спасибо большое) буду пробовать),48670,-1,134993539,False,1672323159.0
В принципе в js логика такая-же,48669,-1,697113421,False,1672323143.0
"Не за что. В js не особо разбираюсь, поэтому как именно сделать не подскажу. Но на Java это работает примерно так:

`int totalMinutes = $DATETIME.hour * 60 + $DATETIME.minute;
totalMinutes += 90;
$time = totalMinutes / 60 + "":"" + totalMinutes % 60;`",48668,48666,697113421,False,1672323040.0
Спасибо!,48666,48665,134993539,False,1672322472.0
"В блоке ""код"" с помощью JS точно можно сделать",48665,48664,697113421,False,1672318749.0
"Добрый день!
Подскажите, пожалуйста, есть ли адекватные способы прибавлять или вычитать время?

Пользователь вводит время в формате` xx:xx,` и мне надо посчитать время ""через полтора часа""
Я сохраняю введённое в `$DATETIME`, потом использую конструкцию
``` $time = ($DATETIME.hour + 1) + "":"" + ($DATETIME.minute+30)
```При таком варианте получаются варианты, где минуты больше 60 (например, 15:70)

Подскажите, пожалуйста, что можно сделать?",48664,-1,134993539,False,1672318443.0
"Ок, я сам попробую поискать",48662,-1,697113421,False,1672216371.0
"Поиски займут время, нужный фрагмент найти не обещаю. Ссылка на канал есть внизу сайта (наверное, уже знаешь)",48661,48660,904930761,False,1672215967.0
"youtube aimylogica? У них там вроде бы нет видосов про это. Если есть, кинь ссылку плз",48660,48659,697113421,False,1672211136.0
Доброе 😁 youtube канал не поможет?,48659,48658,904930761,False,1672206765.0
"Всем привет. В aimylogic и в jaicp есть документации по ""расширенным настройкам телефонии"". Но там всё описано очень кратко и не понятно. Есть какой-то более подробный туториал/статья? Конкретно интересуют настройки: Передавать локальный домен в SIP-заголовке FROM, Использовать direct media при переводе вызова, SIP-заголовки.

https://help.aimylogic.com/docs/ru/smart_calls/sip_settings#rasshirennie-nastroiki
https://help.just-ai.com/docs/ru/telephony/telephony_setup#sozdanie",48658,-1,697113421,False,1672204441.0
,48657,-1,605867485,True,1672198553.0
,48656,-1,5853357828,True,1672192666.0
"Коллеги, приближаются праздники и выходные дни 📆☃️
С 31.12 по 09.01 за нашими сервисами будут следить дежурные специалисты, а режим работы тех. поддержки будет сокращён, поэтому если у вас остались вопросы или нерешённые задачи, обращайтесь в виджет на https://app.aimylogic.com/ до наступления праздников 🎄",48655,-1,-1001338296810,False,1672155195.0
,48654,-1,5857106137,True,1672138076.0
,48653,-1,697113421,False,1672133547.0
"Да, передали команде фидбэк",48652,48651,364796165,False,1672133395.0
"Хорошо)) Тогда добавьте, пожалуйста, предупреждение о том, что это может не всегда работать. Или даже какую-то отдельную статью на эту тему)",48651,48650,697113421,False,1672133234.0
думаю этот момент в документации мы поправим:),48650,48649,364796165,False,1672133100.0
"Просто в документации [написано](https://help.aimylogic.com/docs/ru/how-to-create-a-script/user-says/template_syntax#asterisk:~:text=%D0%AD%D1%82%D0%BE%D1%82%20%D1%81%D0%B8%D0%BC%D0%B2%D0%BE%D0%BB%20%D0%B2%20%D1%88%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD%D0%B5%20%D0%BE%D0%B7%D0%BD%D0%B0%D1%87%D0%B0%D0%B5%D1%82%2C%20%D1%87%D1%82%D0%BE%20%D0%BD%D0%B0%20%D0%B5%D0%B3%D0%BE%20%D0%BC%D0%B5%D1%81%D1%82%D0%B5%20%D0%B2%D0%BE%20%D1%84%D1%80%D0%B0%D0%B7%D0%B5%20%D0%BA%D0%BB%D0%B8%D0%B5%D0%BD%D1%82%D0%B0%20%D0%BC%D0%BE%D0%B6%D0%B5%D1%82%20%D0%B1%D1%8B%D1%82%D1%8C%20%D1%81%D0%BA%D0%BE%D0%BB%D1%8C%D0%BA%D0%BE%20%D1%83%D0%B3%D0%BE%D0%B4%D0%BD%D0%BE%20%D1%81%D0%B8%D0%BC%D0%B2%D0%BE%D0%BB%D0%BE%D0%B2%2C%20%D0%B2%20%D1%82%D0%BE%D0%BC%20%D1%87%D0%B8%D1%81%D0%BB%D0%B5%20%D0%B8%20%D0%BD%D0%B8%20%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE), что на месте * может быть ЛЮБОЕ кол-во символов, в том числе ни одного",48649,-1,697113421,False,1672133002.0
"большого смысла это не имеет, так как ""* * сайт * *"" то же самое, что и ""* сайт *"", но, так как в * могут быть какие угодно слова, то это порой не ведет к успешному распознаванию фразы, если она длинная, так как движку необходимо вычленить только одно лишь слово ""сайт"" из всего набора слов во фразе",48648,48647,364796165,False,1672132903.0
"Спасибо. А можно не ""* можете * ~сайт *"" а ""* * сайт * *""?",48647,48646,697113421,False,1672132776.0
"расширьте примеры, добавив, например ""* можете * ~сайт *"" и подобные, так как ""можете подсказать как зайти на сайт"" слишком длинный запрос для успешного распознавания шаблона ""* сайт *"", либо, если нет желания добавлять новые шаблоны, то придется уменьшать порог NLU примерно до 0.13, но это может привести к некорректному распознаванию других интентов",48646,48645,364796165,False,1672132542.0
"Но теперь не работает ""можете подсказать как зайти на сайт"" 😂😂",48645,48639,697113421,False,1672132127.0
Зачем спрашивать только?)) Можно же просто попробовать тыкнуть. Там интуитивно понятно,48644,-1,697113421,False,1672131812.0
Спасибо,48643,-1,5528168702,False,1672131760.0
Добавить новый блок на экран,48642,48641,697113421,False,1672131751.0
"Что значит ""+блок",48641,48638,5528168702,False,1672131728.0
"У меня всё равно так не работает) Просто у меня там большое интент, возможно из-за этого не работает. Но оч странно",48640,48638,697113421,False,1672131715.0
"Спасибо, сработало)",48639,48637,697113421,False,1672131690.0
Доброе утро. А у меня работает )),48638,48636,904930761,False,1672117311.0
"Это скорее всего баг какой-то. Так как, например, шаблон «* яблоко *» в том же контексте «можете подсказать яблоко» — нормально отрабатывает.
Если у вас только один интент связанный с сайтом, добавьте «сайт» как пример и всё будет корректно работать",48637,48636,254468440,False,1672107646.0
"Доброй ночи. У меня есть интент ""сайт"". Почему-то когда я ввожу ""можете подсказать сайт"", этот интент не работает. На любой другой вопрос - работает. Вообще не имея понятия, почему так происходит. Кто-нибудь знает?",48636,-1,697113421,False,1672089537.0
,48635,-1,5023929749,True,1672085242.0
Если кому надо),48634,-1,697113421,False,1672083206.0
Это заработало. Спасибо огромное!,48632,48627,697113421,False,1672083167.0
,48631,-1,1198501823,True,1672081972.0
,48630,-1,232065615,True,1672074223.0
"{
  ""response"": {
    ""text"": ""Смелость города берет."",
    ""tts"": ""смелость sil <[500]> город+а берёт"",
  }
}",48629,-1,904930761,False,1672072591.0
Пример у Яндекс:,48628,48626,904930761,False,1672072588.0
"Не гарантировал, что эти варианты сработают, но попробовать стоило. Вот как выглядит SSML у Гугл: <speak>
  Step 1, take a deep breath. <break time=""200ms""/>
  Step 2, exhale.
  Step 3, take a deep breath again. <break strength=""weak""/>
  Step 4, exhale.
</speak>",48627,48625,904930761,False,1672072517.0
"Не понял, как использовать sil. Если делаю так, то просто вылетает ошибка",48626,-1,697113421,False,1672071390.0
"Если сделать так, то всё, что после break просто пропускается",48625,-1,697113421,False,1672071247.0
Не за что )),48624,48623,904930761,False,1672066368.0
"Протестю через минут 5-10, спасибо!",48623,48622,697113421,False,1672066349.0
"Могу предложить только методом ""научного тыка"", например, вставить тег <break> или sil <[ <количество_миллисекунд> ]>, может что-нибудь сработает. Есть возможность протестировать?",48622,-1,904930761,False,1672065998.0
Ссылка выглядит вот так: syntez:attachment_instruction_link (если скопировать). Но она не работает,48621,-1,697113421,False,1672065921.0
Просто вот такое открывается,48620,-1,697113421,False,1672065908.0
Там её нету на самом деле))),48619,48618,697113421,False,1672065879.0
"А вот внизу Вашей картинки подробная инструкция есть, там ничего полезного?",48618,48615,904930761,False,1672065811.0
"В документации есть такое: ""Каждый пунктуационный знак, отделенный пробелами, преобразуется в паузу длительностью 50–100 мс. Последовательностью дефисов можно задавать небольшие паузы, например:

Здравствуйте! Ответьте на вопрос: - - - - да, нет или наверное

Не рекомендуется использовать длинную последовательность дефисов, чтобы создавать большие паузы. Это может привести к звуковым артефактам при синтезе.""",48617,-1,904930761,False,1672065562.0
"Может я неправильно использую символ ""-""? Можете дать пример плиз",48616,-1,697113421,False,1672065393.0
Только вот такое есть,48615,-1,697113421,False,1672065367.0
"У меня бот для звонков. Я не знаю, какая тут разметка. Кнопки ""включить разметку"" вообще нету.",48614,48613,697113421,False,1672065326.0
"Добрый) зависит от того, какая разметка сработает, tts или ssml. См. https://help.aimylogic.com/docs/ru/advanced/speech_synthesis_markup",48613,48612,904930761,False,1672064825.0
"Добрый вечер. Мне нужно продиктовать клиенту номер, но он диктуется слишком быстро. На сайте aimylogica написано, что не рекомендуется ставить много минусов. +я заметил, что минусы как-будто не работают. Не важно, сколько я ставлю, темп всё равно примерно одинаковый. Хелп плиз",48612,-1,697113421,False,1672064368.0
"Пробовали, не выходит. Aimi не подставляет его никуда
Надо его задавать в канал звонка, а инструмента такого не нашли",48611,-1,507539693,False,1672044779.0
"Привет, а так не пробовали? https://help.aimylogic.com/docs/ru/smart_calls/incoming_calls#kak-poluchit-nomer-abonenta",48610,48608,904930761,False,1672043964.0
"Условно, чтобы человек видел номер клиента который звонит, а не номер той линии.
При переводе звонка от бота дальше",48609,-1,507539693,False,1672032117.0
"Привет!
Ребят подскажите плз. Используем АТС Asterisk и Aimi
На Aimi зарегали линию. При входящем звонке на АТС вызов приходит в Бота, и там общается.
Вот как получить ""родной"" callerid из бота?

Чтобы силами бота а не АТС",48608,-1,507539693,False,1672032061.0
,48607,-1,5428034824,True,1672007759.0
,48606,-1,293219132,True,1672003575.0
,48605,-1,1186927218,True,1671979404.0
,48604,-1,5789676013,True,1671880704.0
Доброго всем! Нужна помощь в реализации интеграции чат бота с Amocrm и  GoogleDisk. Более подробно в личку.,48603,-1,634723761,False,1671860836.0
,48602,-1,5144708882,True,1671822466.0
,48601,-1,1343389314,True,1671822275.0
Благодарю,48600,48598,2105972692,False,1671820586.0
https://help.aimylogic.com/docs/ru/how-to-create-a-script/datetime,48599,-1,5462793160,False,1671820539.0
$DATETIME вроде как то так,48598,-1,5462793160,False,1671820442.0
"Добрый вечер, Не подскажите, через какую переменную сохраняется ответ пользователя в интенте ""Дата и время""",48597,-1,2105972692,False,1671820351.0
"Ок,спасибо.",48593,-1,5528168702,False,1671795593.0
"Попробуйте отключить автоперевод страницы и проверьте снова. 
Пока что не можем воспроизвести - в строку подставляется такой же код, как и в списке - +380.   Если проблема останется - напишите нам в чат поддержки, пожалуйста, он находится в правом нижнем углу.",48592,48591,168247888,False,1671795560.0
,48591,48590,5528168702,False,1671794215.0
"а можете уточнить, на какой именно странице отображается такой код? Можно прислать полноэкранный скриншот",48590,48587,168247888,False,1671791461.0
"Добрый день! 
Проверим и исправим данный баг. Благодарим за информацию!",48589,48587,51245066,False,1671791194.0
"Всем привет!

До Нового года чуть больше недели, и поэтому мы к вам с подарками🎁 

Дарим новогодние скидки на годовые и полугодовые подписки на тарифы для звонков и чат-ботов! 🎄Выгода до 30%! Успейте до 30 декабря.

Подробнее по [ссылке](https://aimylogic.com/new_year_promo_2022?utm_source=tg).",48588,-1,-1001338296810,False,1671790670.0
"Почему не ""+380?",48587,-1,5528168702,False,1671790555.0
Здравствуйте,48586,-1,5528168702,False,1671790531.0
,48585,-1,427744370,True,1671789722.0
,48584,-1,1135371740,True,1671786486.0
Спасибо,48583,48582,146021886,False,1671733227.0
если работает и сбоев нет и вас устраивает значит все хорошо),48582,-1,5462793160,False,1671732552.0
Сложновато для меня. Я пока что вот таким блоком оставлю. Ничего ж критичного нет в этом?,48581,-1,146021886,False,1671732518.0
и когда переменная будет 118 после блока условие идет на другую ветку,48580,-1,5462793160,False,1671731057.0
после прохождения отправки каждый раз прибавлять +1,48579,-1,5462793160,False,1671731037.0
а это одно и тоже сообщение если ДА то можно сделать счетчик,48578,-1,5462793160,False,1671731025.0
,48577,-1,1747485350,True,1671729435.0
Вот такой блок может быть выходом из ситуации? Или есть проще решения?,48576,-1,146021886,False,1671725457.0
"Привет. Подскажите пожалуйста, как можно закруглить один блок на повторение его определенное количество раз? На пальцах выглядит так: мантра повторяется 108 раз и после 108 раза идет завершение диалога",48575,-1,146021886,False,1671724358.0
,48574,-1,5300258439,True,1671722661.0
,48569,-1,498005717,True,1671719495.0
Спасибо.,48568,-1,5528168702,False,1671718112.0
"Нет, не берёт. Просто авторизуйтесь через гугл аккаунт, как на любом сайте",48567,48566,697113421,False,1671718077.0
"Здравствуйте.
 "" Aimylogic.com "" этот сайт при регистрации, берет мои данные Об аккаунте Гугл?",48566,-1,5528168702,False,1671717772.0
,48565,-1,5641077219,True,1671714765.0
,48563,-1,5080551863,True,1671713919.0
,48561,-1,5418945811,True,1671710004.0
,48560,-1,794491106,True,1671709703.0
"сам нашел ответ на свой вопрос)) если вдруг кому то понадобится, здесь можно проверить орфографию: 
https://jsonformatter.curiousconcept.com/#editor",48559,-1,477851397,False,1671701327.0
"День добрый, могу ли я отправлять разным людям через http запрос сообщения используя данное выражение? Правильно ли написано?
[
{ ""chat_id"": айдипользователя1, ""text"": ""текст""},
{ ""chat_id"": айдипользователя2, ""text"": ""текст""}
]",48558,-1,477851397,False,1671700734.0
,48557,-1,134993539,True,1671697490.0
,48556,-1,992036788,True,1671696626.0
"Здравствуйте.
 "" Aimylogic.com "" этот сайт при регистрации, берет мои данные Об аккаунте Гугл?",48555,-1,5528168702,False,1671645980.0
https://help.aimylogic.com/docs/ru/publication_channels/telegram/inline_buttons/,48551,48545,548664418,False,1671638008.0
,48550,-1,5528168702,True,1671636684.0
,48549,-1,154408804,True,1671631330.0
,48548,-1,425933252,True,1671620011.0
#support,48546,48545,2105972692,False,1671613998.0
"Здравствуйте!
Я в @botfather настроил инлайн режим(/setinline)

А что надо сделать в сценарий бота чтобы инлайн режим работал?",48545,-1,2105972692,False,1671613851.0
"Проблема, наблюдавшаяся вчера, была устранена.",48544,48538,92038330,False,1671607370.0
"19 декабря всё было норм, а сегодня после этого сбоя размер сообщения вебхука увеличился в 7 раз. и это точно не я

уже час жду ответа в чате на сайте, работа стоит, спасайте",48543,-1,1859185902,False,1671556143.0
"написал

сейчас вебхук стал уходить, но при этом вместо сообщения о успешной отправке уходит сообщение с ошибкой. может сталкивался кто-то?",48542,48541,1859185902,False,1671553642.0
"Отправьте нам тикет, расследуем проблему, возможно они не связаны",48541,48540,364796165,False,1671551971.0
"после этой технической проблемы перестал отправляться вебхук с данными по окончании работы бота, хотя еще вчера всё работало. Правки до тех. проблемы не вносились. Что можно проверить?",48540,48537,1859185902,False,1671551907.0
Опубликованные боты на каждое новое сообщение возвращают техническую ошибку,48539,48537,206994057,False,1671548950.0
"держите в курсе, пожалуйста)",48538,48537,1859185902,False,1671548936.0
"Также ошибку подтверждаем, команда уже расследует",48537,48536,364796165,False,1671548205.0
"Почему-то при публикации бота выдаётся ошибка ""Training failed"". Что это?",48536,-1,697113421,False,1671548049.0
"Проблему заметили, рассматриваем причину с командой",48535,48533,364796165,False,1671548027.0
у меня одного при запуске бота?,48534,-1,238571313,False,1671547587.0
RuntimeException: java.util.concurrent.ExecutionException: com.justai.zb.scenarios.errors.NoStateFound: No target state was determined for query,48533,-1,238571313,False,1671547579.0
"угу, работает 🙃",48532,-1,1859185902,False,1671544478.0
Восстановилось вроде,48531,-1,507539693,False,1671544190.0
jaicp тоже упал...,48527,-1,372340213,False,1671543558.0
только у меня сайт не грузится? https://app.aimylogic.com/,48526,-1,1859185902,False,1671543405.0
,48525,-1,322165193,True,1671525884.0
"Добрый день, кто хорошо разбирается в aimylogic и хочет побыть репетитором, объяснить базовые моменты, напишите в лс, договоримся о цене, спасибо!",48524,-1,1331374607,False,1671522902.0
,48523,-1,1859185902,True,1671483153.0
"Приветствую. Мне нужен для сотрудничества мастер по ботам, начнём с малого и по нарастающей будем углубляться, усложняться и т.д. Проекты связаны с психологией. Пишите в личку",48522,-1,1173477523,False,1671459960.0
,48521,-1,5512570680,True,1671458872.0
Кто может помочь с созданием бота для записи на визу в США?,48520,-1,441359386,False,1671458683.0
Добрый день,48519,-1,441359386,False,1671458664.0
,48518,-1,441359386,True,1671453744.0
Попробуйте отключить все дополнения в браузере и открыть страницу в режиме инкогнито.,48517,48516,1666775200,False,1671434069.0
Chrome,48516,-1,1095548667,False,1671434016.0
"Ирина, утоните, какой браузер используете?",48515,48514,1666775200,False,1671433988.0
"Здравствуйте, не подскажите, почему сайт не открывается. Идёт загрузка, но не открывается",48514,-1,1095548667,False,1671421523.0
,48513,-1,1095548667,True,1671420643.0
,48512,-1,1162612374,True,1671389546.0
,48509,-1,1331374607,True,1671371159.0
,48508,-1,302809374,True,1671348094.0
"Здравствуйте, не подскажите, как в Aimylogic создать Рассылку?",48504,-1,2105972692,False,1671299186.0
Кто-нибудь шарит?,48503,48501,697113421,False,1671290854.0
,48502,-1,697113421,False,1671288442.0
"На блоке, на который я указал стрелкой, sessionResult уже не ""Начало"", а ""Вопрос""",48501,-1,697113421,False,1671288428.0
"Да, я это знаю. Но он у меня стирается тогда, когда открывается любом блок сценария. Сейчас пришлю код",48500,48498,697113421,False,1671288355.0
Так как он может быть только 1 - он  и ставит последний,48499,-1,349278159,False,1671288268.0
Когда где то снова появляется setsessionresult - прошлый результат затирается,48498,48496,349278159,False,1671288256.0
"Если копировать каждый раз, то будет очень большая нагрузка",48497,48495,697113421,False,1671288175.0
"Всм ""новый код""?",48496,48493,697113421,False,1671288145.0
Возможно сделать копию блока бы setsessionresult,48495,-1,349278159,False,1671288060.0
Тебе просто нужно не обновлять его в следующем блоке,48494,-1,349278159,False,1671288047.0
"Он обновляется каждый раз, когда появляется новый код",48493,48492,349278159,False,1671288017.0
"Ребят, хотел уточнить, как работает $analytics.setSessionResult(value). Я думал, что если ты поставишь sessionResult 1 раз, то он не сможет поменяться до того, как ты поставишь другой sessionResult. Но у меня он меняется при переходе на другой блок сценария (а мне это не нужно).",48492,-1,697113421,False,1671287974.0
"Тоже норм, считай обрезанный lucid",48491,48485,697113421,False,1671287779.0
"Lucid вообще норм. Можно как и что-то быстрое и лёгкое сделать, так и долгое и сложное (у них много клёвых тьюториалов)",48490,48415,697113421,False,1671287724.0
,48488,-1,5451933644,True,1671269318.0
"Евгений,спасибо, посмотрю.",48487,48485,377828568,False,1671253811.0
"естть решение в AI, нетривиальное, но есть) Год назад над этим тоже озадачивались. По итогу выход есть по принципу если Магомед не идет к горе, значит гора к Магомеду. Сегодня поздно уже. Завтра расскажу или в ЛС постучись.",48486,48121,76473472,False,1671220481.0
"Я использую draw.io работает на Виндоус и Линукс, на маках незнаю.
Полностью напуском и очень мега удобная",48485,48415,410465498,False,1671218490.0
"А, благодарю!",48484,-1,2105972692,False,1671204537.0
в кабинете есть для партнеров и там есть реферальная ссылка,48483,-1,5462793160,False,1671204480.0
это ответ),48482,-1,5462793160,False,1671204462.0
"Если это вопрос, то да.",48481,48480,2105972692,False,1671204443.0
в кабинете,48480,-1,5462793160,False,1671200085.0
"Здравствуйте!
Не подскажите как создать реферальную ссылку для пользователя?",48479,-1,2105972692,False,1671198986.0
👍,48478,48477,1761984533,False,1671186943.0
"Всем большое спасибо на ответы. Сразу всё сделать не успею, но всю инфу сохранил себе в избранное - буду постепенно изучить.",48477,-1,697113421,False,1671186761.0
